795863,3283607,2158079,buy,1512057600
581054,1286290,883960,buy,1512057602
80679,4472519,4145813,fav,1512057602
552090,3190050,4643350,fav,1512057603
473953,233356,2355072,fav,1512057611
206140,88903,982926,fav,1512057615
425573,4352300,1102540,fav,1512057623
924868,2088198,4756105,fav,1512057634
348859,1019929,883960,fav,1512057647
392341,956343,3607361,fav,1512057650
155695,2368846,2355072,fav,1512057663
50955,4285637,4919077,fav,1512057672
794631,2056163,411153,fav,1512057676
449702,3075936,2735466,fav,1512057677
499305,5113670,149192,fav,1512057683
194064,2699835,4756105,fav,1512057683
6068,3263827,2629787,fav,1512057685
777077,2332155,2925160,fav,1512057685
794631,1914641,2355072,fav,1512057687
323802,1187111,4756105,fav,1512057689
97587,2844486,1320293,fav,1512057691
508376,1258858,295183,fav,1512057698
115094,2655135,4756105,fav,1512057727
767104,5132704,2355072,fav,1512057728
147258,1506543,982926,fav,1512057730
73240,963616,2465336,fav,1512057732
188032,1500142,4756105,fav,1512057732
147258,3913119,1320293,fav,1512057734
456289,842197,4756105,fav,1512057734
794631,2957248,2629787,fav,1512057742
905925,689681,4756105,fav,1512057744
233045,4041504,1125862,fav,1512057748
6068,456436,2158079,fav,1512057748
559169,1089748,3607361,fav,1512057748
732874,679805,149192,fav,1512057749
510874,4322829,1573465,buy,1512057759
10698,4020503,4145813,fav,1512057761
468529,2732505,4145813,fav,1512057780
581054,107385,4756105,fav,1512057784
629639,19917,4181361,fav,1512057784
526250,895163,2735466,fav,1512057795
915348,4976703,4217906,fav,1512057796
559169,3011437,4756105,fav,1512057800
732874,3626987,2520377,fav,1512057804
700512,4716938,982926,fav,1512057817
45921,5065931,3767409,fav,1512057818
526250,3921561,3607361,fav,1512057827
147258,5010193,149192,fav,1512057832
248164,1387695,4756105,fav,1512057832
656718,1048551,4113936,fav,1512057833
81626,717657,5008466,fav,1512057833
951514,1063709,570735,fav,1512057844
794631,3737240,154040,fav,1512057846
24686,1048551,4113936,fav,1512057849
657271,4764757,3361496,fav,1512057851
581054,4525461,4756105,fav,1512057852
107013,2030856,2321836,buy,1512057854
632772,4930963,3848953,fav,1512057856
603914,7322,2355072,fav,1512057856
155695,3676378,2355072,fav,1512057856
74133,2955941,1051370,fav,1512057865
159533,1048551,4113936,fav,1512057867
657271,1451261,1154246,fav,1512057869
423283,250498,982926,fav,1512057871
147258,3761770,1080785,fav,1512057871
172000,3292151,432873,fav,1512057876
143478,999828,4756105,fav,1512057876
882322,4637317,3002561,fav,1512057884
794631,3746040,154040,fav,1512057892
904770,850247,4756105,fav,1512057894
147258,3216015,2520377,fav,1512057900
844233,1706873,982926,fav,1512057908
905925,3662836,4145813,fav,1512057915
89912,2033742,2355072,fav,1512057919
661383,1399650,2735466,buy,1512057927
661383,4978005,2735466,buy,1512057927
74133,2217813,4756105,fav,1512057930
898088,240034,1080785,fav,1512057943
581054,2783905,4756105,fav,1512057950
146780,219103,411153,fav,1512057951
333771,5083397,3002561,fav,1512057956
301912,3146761,3607361,fav,1512057957
530673,776418,4756105,fav,1512057968
868470,347441,3607361,fav,1512057974
906268,747736,2520377,fav,1512057976
987608,3381330,1320293,fav,1512057979
843040,305449,4756105,fav,1512057979
301216,2537597,3323023,fav,1512057991
794631,4214498,411153,fav,1512057995
922708,4879098,2465336,fav,1512058000
698305,2844212,2629787,fav,1512058010
294137,798288,1320293,fav,1512058012
254177,5065028,4756105,fav,1512058041
89912,3536242,1320293,fav,1512058043
499305,3291206,2355072,fav,1512058046
